"","coln","2.5 %","97.5 %","blank.1","2.5 %","97.5 %","blank.2","2.5 %","97.5 %","blank.3"
"(Intercept)",1,0.0127315558649603,60.1190404543964,"",0.000592388384027875,5.0815706759583,"",9.1061860972592e-05,2.55460504368078,""
"fafh.q42",2,0.221722095746196,5.9049773383519,"",0.167498500011522,4.48675852254129,"",0.0850042764427193,4.46103549235949,""
"fafh.q43",3,0.192220998666748,5.48653120665724,"",0.108579234658747,3.39975398601832,"",0.0610385803676247,3.17402266393032,""
"fafh.q44",4,0.144134394143244,4.10128706509421,"",0.105743008707388,3.09098373624999,"",0.0887391739037589,3.79841785138445,""
"Gender2",5,0.35598562231664,2.2581115937894,"",0.548065700802171,3.92097277052797,"",0.537927346881039,4.63377427577247,""
"Age",6,0.951322077029053,1.02242772402185,"",0.971900600332306,1.04862343353229,"",0.980376279201558,1.06639407183335,""
"Race2",7,0.675016980545294,2.61905750014411,"",0.532482724316556,2.28066752064276,"",0.548900270852973,2.89746279397305,""
"HHSize2",8,0.676078462480589,1.69415768688511,"",0.540655751519708,1.39507578394737,"",0.430846862925494,1.22457878506957,""
"IncPovRat2",9,0.274278425141663,3.77138407930938,"",0.310842906838885,5.03655357181577,"",0.125976691520023,3.91729631129285,""
"EDU",10,0.629391282245117,1.62113196321617,"",1.01116258571999,2.92367093860691,"",0.817086556564368,2.54954792379468,""
"MartitalStat_cat",11,0.592123470180541,1.38795400910349,"",0.537643396512252,1.34295319263989,"",0.643592008670358,1.72514931484801,""
"FoodAsstP2",12,0.233863679713478,2.80171350078477,"",0.332947797700732,4.51827766971058,"",0.0969881554949176,2.68858794894613,""
"SmokStatFormer",13,0.619356882627109,6.85992337255404,"",0.857448917166522,11.2974756343866,"",2.11803281768179,64.6123846224263,""
"SmokStatNever",14,0.765692643516613,6.79520669980442,"",1.06694167728236,11.3580590165863,"",1.70062580180774,46.5312625434361,""
"ALCUSE2",15,0.250673366306235,1.58596042792083,"",0.352501439741445,2.43836478237725,"",0.272270465279626,2.26283020324078,""
